 3757814  2041.     280.    180.     253.    42.    26.   0.165  0.094  0.096  5.412 0.098 0.120 2456923.    240.    260.   0.0042  0.0022  0.0017   2.66   0.33   0.31  
 3760002   458.1      1.1     1.1    213.5    7.6    6.9  0.771  0.042  0.041  1.904 0.049 0.047 2455076.1     2.8     2.8  0.0498  0.0053  0.0049   6.48   0.44   0.41  
 3762741  1220.      75.     53.     325.    32.    20.   0.253  0.094  0.095  0.01  0.16  0.18  2455075.     81.     84.   0.0247  0.0076  0.0054   5.62   0.41   0.43  
 3763579  1739.     190.    220.     300.    64.    59.   0.091  0.100  0.052  2.41  0.28  0.24  2456573.    270.    270.   0.0095  0.0065  0.0060   3.74   0.68   0.54  
 3833853   446.8      1.4     1.5     59.6    1.1    1.1  0.025  0.025  0.016  0.26  0.37  0.74  2455311.     27.     52.   0.00114 0.00006 0.00007  2.907  0.036  0.034 
 3849354   109.563    0.097   0.096   91.1    2.1    2.1  0.189  0.047  0.046  1.33  0.22  0.17  2455004.6     3.8     3.1  0.0677  0.0047  0.0046  17.81   0.35   0.32  
 3851151  2173.     940.    480.     144.    33.    19.   0.57   0.15   0.18   1.5   0.35  0.25  2455611.    730.    740.   0.00068 0.00055 0.00065  1.18   0.50   0.34  
 3969800   728.      13.     13.      99.3    4.9    5.0  0.112  0.100  0.071  1.1   0.92  1.10  2455257.    110.    130.   0.00198 0.00030 0.00031  2.95   0.13   0.10  
 3975085   921.3      3.3     3.2    893.8    3.8    3.6  0.1748 0.0076 0.0076 4.725 0.057 0.045 2455181.0     7.4     6.7  0.903   0.013   0.013   20.828  0.088  0.087 
 4077275   461.1      9.7     9.5    113.2    9.9    8.9  0.29   0.19   0.17   0.73  0.99  0.55  2455121.     68.     47.   0.0073  0.0020  0.0018   5.12   0.50   0.39  
 4078743  1571.      67.     51.     840.    47.    36.   0.391  0.015  0.015  5.179 0.074 0.036 2455358.     61.     61.   0.258   0.047   0.040   10.73   0.46   0.47  
 4141155   261.16     0.27    0.27    80.8    1.0    1.0  0.259  0.021  0.022  6.228 0.070 0.063 2454987.6     3.0     2.7  0.0083  0.00032 0.00032  6.515  0.073  0.071 
 4168574  1533.      83.     53.     619.    76.    44.   0.195  0.025  0.026  0.434 0.073 0.085 2455059.     74.     76.   0.108   0.041   0.026    8.63   0.53   0.65  
 4170631   175.28     0.72    0.71    91.6   12.0    8.5  0.62   0.16   0.16   5.22  0.28  0.26  2454962.7     6.3     6.5  0.0269  0.0100  0.0075   9.0    1.5    1.4   
 4171102   872.      25.     26.     149.    28.    18.   0.4    0.2    0.2    6.26  0.45  0.44  2455327.     75.     61.   0.0047  0.0027  0.0017   3.33   0.52   0.52  
 4180199  2326.    1600.    430.     427.   210.    52.   0.827  0.068  0.085  1.22  0.13  0.27  2455878.   1000.   1100.   0.015   0.023   0.022    2.25   1.10   0.95  
 4243461   481.4      1.8     1.8    116.9    2.2    2.3  0.029  0.030  0.018  1.67  0.67  0.67  2455206.     51.     51.   0.00739 0.00042 0.00044  5.29   0.070  0.062 
 4243984   553.8      1.1     1.1    183.4    2.1    2.1  0.389  0.018  0.018  0.805 0.074 0.057 2455272.9     6.0     5.2  0.02161 0.00075 0.00075  6.655  0.080  0.078 
 4253860   154.957    0.091   0.092  154.5    6.6    6.4  0.947  0.030  0.044  1.46  0.06  0.11  2455001.73    0.69    0.66 0.165   0.021   0.021    7.0    1.4    1.6   
 4269337   675.2      1.0     1.0    362.0    2.6    2.6  0.42   0.011  0.011  4.048 0.027 0.030 2455591.8     3.4     3.3  0.1118  0.0025  0.0024  10.61   0.081  0.082 
 4277242   352.1      5.1     5.4     58.8   13.0    8.6  0.24   0.28   0.16   2.41  2.20  0.82  2455108.    130.     45.   0.00176 0.00120 0.00078  3.54   0.56   0.46  
 4283747  1096.      14.     13.     389.1    7.2    6.8  0.477  0.024  0.024  0.403 0.048 0.049 2455568.     16.     15.   0.0527  0.0032  0.0031   6.81   0.15   0.15  
 4372410  1093.      28.     26.     397.    84.    43.   0.6    0.19   0.15   5.22  0.18  0.18  2455429.     36.     39.   0.056   0.036   0.018    6.3    1.2    1.2   
 4380834   442.8      1.3     1.3    244.2    6.7    6.3  0.436  0.039  0.039  0.22  0.095 0.090 2455102.0     6.5     6.4  0.0797  0.0065  0.0062  10.82   0.31   0.30  
 4381221   180.71     0.14    0.13   203.2    2.6    2.6  0.314  0.024  0.025  1.713 0.064 0.063 2455064.1     1.8     1.9  0.276   0.011   0.011   23.28   0.30   0.29  
 4386091   456.      50.     36.       3.5    2.3    1.8  0.6    0.28   0.34   3.27  0.94  0.66  2455384.     99.     94.   0.0     0.00000 0.00000  0.136  0.068  0.061 
 4456107   335.72     0.48    0.49    87.5    1.1    1.0  0.255  0.021  0.021  3.41  0.090 0.066 2455145.2     4.9     3.8  0.00639 0.00023 0.00023  5.498  0.059  0.058 
 4476836   776.6      2.5     2.4    186.8    1.6    1.6  0.099  0.016  0.016  4.0   0.22  0.18  2455453.     28.     23.   0.0116  0.00031 0.00030  5.217  0.035  0.034 
 4574142   230.38     0.64    0.65    60.8    1.7    1.7  0.145  0.054  0.054  2.13  0.46  0.30  2455001.     17.     11.   0.00454 0.00039 0.00039  5.69   0.13   0.12  
